name,emoji,group,subgroup,keywords,aliases
six-thirty,🕡,Travel & Places,time,"30, 6, 6:30, clock, six, six-thirty, thirty","clock630, six thirty"
seven o’clock,🕖,Travel & Places,time,"00, 7, 7:00, clock, o’clock, seven","clock7, seven o clock"
seven-thirty,🕢,Travel & Places,time,"30, 7, 7:30, clock, seven, seven-thirty, thirty","clock730, seven thirty"
eight o’clock,🕗,Travel & Places,time,"00, 8, 8:00, clock, eight, o’clock","clock8, eight o clock"
eight-thirty,🕣,Travel & Places,time,"30, 8, 8:30, clock, eight, eight-thirty, thirty","clock830, eight thirty"
nine o’clock,🕘,Travel & Places,time,"00, 9, 9:00, clock, nine, o’clock","clock9, nine o clock"
nine-thirty,🕤,Travel & Places,time,"30, 9, 9:30, clock, nine, nine-thirty, thirty","clock930, nine thirty"
ten o’clock,🕙,Travel & Places,time,"00, 10, 10:00, clock, o’clock, ten","clock10, ten o clock"
ten-thirty,🕥,Travel & Places,time,"10, 10:30, 30, clock, ten, ten-thirty, thirty","clock1030, ten thirty"
eleven o’clock,🕚,Travel & Places,time,"00, 11, 11:00, clock, eleven, o’clock","clock11, eleven o clock"
eleven-thirty,🕦,Travel & Places,time,"11, 11:30, 30, clock, eleven, eleven-thirty, thirty","clock1130, eleven thirty"
new moon,🌑,Travel & Places,sky & weather,"dark, moon, new moon",new moon
waxing crescent moon,🌒,Travel & Places,sky & weather,"crescent, moon, waxing",waxing crescent moon
first quarter moon,🌓,Travel & Places,sky & weather,"first quarter moon, moon, quarter",first quarter moon
waxing gibbous moon,🌔,Travel & Places,sky & weather,"gibbous, moon, waxing","moon, waxing gibbous moon"
full moon,🌕,Travel & Places,sky & weather,"full, moon",full moon
waning gibbous moon,🌖,Travel & Places,sky & weather,"gibbous, moon, waning",waning gibbous moon
last quarter moon,🌗,Travel & Places,sky & weather,"last quarter moon, moon, quarter",last quarter moon
waning crescent moon,🌘,Travel & Places,sky & weather,"crescent, moon, waning",waning crescent moon
crescent moon,🌙,Travel & Places,sky & weather,"crescent, moon, night",crescent moon
new moon face,🌚,Travel & Places,sky & weather,"face, moon, new moon face","new moon with face, new moon face"
first quarter moon face,🌛,Travel & Places,sky & weather,"face, first quarter moon face, moon, quarter","first quarter moon with face, first quarter moon face"
last quarter moon face,🌜,Travel & Places,sky & weather,"face, last quarter moon face, moon, quarter","last quarter moon with face, last quarter moon face"
thermometer,🌡️,Travel & Places,sky & weather,,
thermometer,🌡,Travel & Places,sky & weather,"thermometer, weather",thermometer
sun,☀️,Travel & Places,sky & weather,weather,"sunny, sun"
sun,☀,Travel & Places,sky & weather,"bright, rays, sun, sunny",sun
full moon face,🌝,Travel & Places,sky & weather,"bright, face, full, moon","full moon with face, full moon face"
sun with face,🌞,Travel & Places,sky & weather,"bright, face, sun, sun with face, summer",sun with face
star,⭐,Travel & Places,sky & weather,star,star
glowing star,🌟,Travel & Places,sky & weather,"glittery, glow, glowing star, shining, sparkle, star","star2, glowing star"
shooting star,🌠,Travel & Places,sky & weather,"falling, shooting, star","stars, shooting star"
cloud,☁️,Travel & Places,sky & weather,,cloud
cloud,☁,Travel & Places,sky & weather,"cloud, weather",
sun behind cloud,⛅,Travel & Places,sky & weather,"cloud, sun, sun behind cloud","sun behind cloud, partly sunny"
cloud with lightning and rain,⛈️,Travel & Places,sky & weather,,
cloud with lightning and rain,⛈,Travel & Places,sky & weather,"cloud, cloud with lightning and rain, rain, thunder",cloud with lightning and rain
sun behind small cloud,🌤️,Travel & Places,sky & weather,,
sun behind small cloud,🌤,Travel & Places,sky & weather,"cloud, sun, sun behind small cloud",sun behind small cloud
sun behind large cloud,🌥️,Travel & Places,sky & weather,,
sun behind large cloud,🌥,Travel & Places,sky & weather,"cloud, sun, sun behind large cloud",sun behind large cloud
sun behind rain cloud,🌦️,Travel & Places,sky & weather,,
sun behind rain cloud,🌦,Travel & Places,sky & weather,"cloud, rain, sun, sun behind rain cloud",sun behind rain cloud
cloud with rain,🌧️,Travel & Places,sky & weather,,
cloud with rain,🌧,Travel & Places,sky & weather,"cloud, cloud with rain, rain",cloud with rain
cloud with snow,🌨️,Travel & Places,sky & weather,,
cloud with snow,🌨,Travel & Places,sky & weather,"cloud, cloud with snow, cold, snow",cloud with snow
cloud with lightning,🌩️,Travel & Places,sky & weather,,
cloud with lightning,🌩,Travel & Places,sky & weather,"cloud, cloud with lightning, lightning",cloud with lightning
tornado,🌪️,Travel & Places,sky & weather,,
tornado,🌪,Travel & Places,sky & weather,"cloud, tornado, whirlwind",tornado
fog,🌫️,Travel & Places,sky & weather,,
fog,🌫,Travel & Places,sky & weather,"cloud, fog",fog
wind face,🌬️,Travel & Places,sky & weather,,
wind face,🌬,Travel & Places,sky & weather,"blow, cloud, face, wind",wind face
cyclone,🌀,Travel & Places,sky & weather,"cyclone, dizzy, hurricane, twister, typhoon, swirl",cyclone
rainbow,🌈,Travel & Places,sky & weather,"rain, rainbow",rainbow
closed umbrella,🌂,Travel & Places,sky & weather,"closed umbrella, clothing, rain, umbrella, weather, rain",closed umbrella
umbrella,☂️,Travel & Places,sky & weather,,"open umbrella, umbrella"
umbrella,☂,Travel & Places,sky & weather,"clothing, rain, umbrella",umbrella
umbrella with rain drops,☔,Travel & Places,sky & weather,"clothing, drop, rain, umbrella, umbrella with rain drops",umbrella with rain drops
umbrella on ground,⛱️,Travel & Places,sky & weather,,umbrella on ground
umbrella on ground,⛱,Travel & Places,sky & weather,"rain, sun, umbrella, umbrella on ground, beach umbrella","parasol on ground, umbrella on ground"
high voltage,⚡,Travel & Places,sky & weather,"danger, electric, electricity, high voltage, lightning, voltage, zap","high voltage, zap"
snowflake,❄️,Travel & Places,sky & weather,"winter, cold, weather",snowflake
snowflake,❄,Travel & Places,sky & weather,"cold, snow, snowflake",
snowman,☃️,Travel & Places,sky & weather,"winter, christmas","snowman with snow, snowman"
snowman,☃,Travel & Places,sky & weather,"cold, snow, snowman",snowman
snowman without snow,⛄,Travel & Places,sky & weather,"cold, snow, snowman, snowman without snow",snowman without snow
comet,☄️,Travel & Places,sky & weather,,
comet,☄,Travel & Places,sky & weather,"comet, space",comet
fire,🔥,Travel & Places,sky & weather,"fire, flame, tool, burn",fire
droplet,💧,Travel & Places,sky & weather,"cold, comic, drop, droplet, sweat, water",droplet
water wave,🌊,Travel & Places,sky & weather,"ocean, water, wave, sea","ocean, water wave"
jack-o-lantern,🎃,Activities,event,"celebration, halloween, jack, jack-o-lantern, lantern, halloween",jack o lantern
Christmas tree,🎄,Activities,event,"celebration, Christmas, tree","christmas tree, Christmas tree"
fireworks,🎆,Activities,event,"celebration, fireworks, festival",fireworks
sparkler,🎇,Activities,event,"celebration, fireworks, sparkle, sparkler",sparkler
firecracker,🧨,Activities,event,"dynamite, explosive, fireworks",firecracker
sparkles,✨,Activities,event,"sparkle, sparkles, star, shiny",sparkles
balloon,🎈,Activities,event,"balloon, celebration, party, birthday",balloon
party popper,🎉,Activities,event,"celebration, party, popper, tada, hooray, party","tada, party popper"
confetti ball,🎊,Activities,event,"ball, celebration, confetti",confetti ball
tanabata tree,🎋,Activities,event,"banner, celebration, Japanese, tanabata tree, tree",tanabata tree
pine decoration,🎍,Activities,event,"bamboo, celebration, Japanese, pine, pine decoration","bamboo, pine decoration"
Japanese dolls,🎎,Activities,event,"celebration, doll, festival, Japanese, Japanese dolls","dolls, Japanese dolls"
carp streamer,🎏,Activities,event,"carp, celebration, streamer","flags, carp streamer"
wind chime,🎐,Activities,event,"bell, celebration, chime, wind",wind chime
moon viewing ceremony,🎑,Activities,event,"celebration, ceremony, moon, moon viewing ceremony","rice scene, moon viewing ceremony"
red envelope,🧧,Activities,event,"gift, good luck, hóngbāo, lai see, money",red envelope
ribbon,🎀,Activities,event,"celebration, ribbon",ribbon
wrapped gift,🎁,Activities,event,"box, celebration, gift, present, wrapped, present, birthday, christmas","gift, wrapped gift"
reminder ribbon,🎗️,Activities,event,,
reminder ribbon,🎗,Activities,event,"celebration, reminder, ribbon",reminder ribbon
admission tickets,🎟️,Activities,event,,admission tickets
admission tickets,🎟,Activities,event,"admission, admission tickets, ticket","tickets, admission tickets"
ticket,🎫,Activities,event,"admission, ticket",ticket
military medal,🎖️,Activities,award-medal,,military medal
military medal,🎖,Activities,award-medal,"celebration, medal, military","medal military, military medal"
trophy,🏆,Activities,award-medal,"prize, trophy, award, contest, winner",trophy
sports medal,🏅,Activities,award-medal,"medal, sports medal, gold, winner","medal sports, sports medal"
1st place medal,🥇,Activities,award-medal,"1st place medal, first, gold, medal",1st place medal
2nd place medal,🥈,Activities,award-medal,"2nd place medal, medal, second, silver",2nd place medal
3rd place medal,🥉,Activities,award-medal,"3rd place medal, bronze, medal, third",3rd place medal
soccer ball,⚽,Activities,sport,"ball, football, soccer","soccer ball, soccer"
baseball,⚾,Activities,sport,"ball, baseball",baseball
softball,🥎,Activities,sport,"ball, glove, underarm",softball
basketball,🏀,Activities,sport,"ball, basketball, hoop, sports",basketball
volleyball,🏐,Activities,sport,"ball, game, volleyball",volleyball
american football,🏈,Activities,sport,"american, ball, football, sports","football, american football"
rugby football,🏉,Activities,sport,"ball, football, rugby",rugby football
tennis,🎾,Activities,sport,"ball, racquet, tennis, sports",tennis
flying disc,🥏,Activities,sport,ultimate,flying disc
bowling,🎳,Activities,sport,"ball, bowling, game",bowling
cricket game,🏏,Activities,sport,"ball, bat, cricket game, game","cricket, cricket game"
field hockey,🏑,Activities,sport,"ball, field, game, hockey, stick",field hockey
ice hockey,🏒,Activities,sport,"game, hockey, ice, puck, stick",ice hockey
lacrosse,🥍,Activities,sport,"ball, goal, stick",lacrosse
ping pong,🏓,Activities,sport,"ball, bat, game, paddle, ping pong, table tennis",ping pong
badminton,🏸,Activities,sport,"badminton, birdie, game, racquet, shuttlecock",badminton
boxing glove,🥊,Activities,sport,"boxing, glove",boxing glove
martial arts uniform,🥋,Activities,sport,"judo, karate, martial arts, martial arts uniform, taekwondo, uniform",martial arts uniform
goal net,🥅,Activities,sport,"goal, net",goal net
flag in hole,⛳,Activities,sport,"flag in hole, golf, hole","flag in hole, golf"
ice skate,⛸️,Activities,sport,,
ice skate,⛸,Activities,sport,"ice, skate, skating",ice skate
fishing pole,🎣,Activities,sport,"fish, fishing pole, pole","fishing pole and fish, fishing pole"
running shirt,🎽,Activities,sport,"athletics, running, sash, shirt, marathon","running shirt with sash, running shirt"
skis,🎿,Activities,sport,"ski, skis, snow","ski, skis"
sled,🛷,Activities,sport,"sled, sledge, sleigh, luge, toboggan",sled
curling stone,🥌,Activities,sport,"curling stone, game, rock",curling stone
direct hit,🎯,Activities,game,"bull, bullseye, dart, direct hit, eye, game, hit, target, target","dart, direct hit"
pool 8 ball,🎱,Activities,game,"8, ball, billiard, eight, game, pool 8 ball, pool, billiards","8ball, pool 8 ball"
crystal ball,🔮,Activities,game,"ball, crystal, fairy tale, fantasy, fortune, tool",crystal ball
nazar amulet,🧿,Activities,game,"bead, charm, evil-eye, nazar, talisman",nazar amulet
video game,🎮,Activities,game,"controller, game, video game, play, controller, console",video game
joystick,🕹️,Activities,game,,
joystick,🕹,Activities,game,"game, joystick, video game",joystick
slot machine,🎰,Activities,game,"game, slot, slot machine",slot machine
game die,🎲,Activities,game,"dice, die, game, dice, gambling",game die
jigsaw,🧩,Activities,game,"clue, interlocking, piece, puzzle",jigsaw
teddy bear,🧸,Activities,game,"plaything, plush, stuffed, toy",teddy bear
spade suit,♠️,Activities,game,,"spades, spade suit"
spade suit,♠,Activities,game,"card, game, spade suit",spade suit
heart suit,♥️,Activities,game,,"hearts, heart suit"
heart suit,♥,Activities,game,"card, game, heart suit",heart suit
diamond suit,♦️,Activities,game,,"diamonds, diamond suit"
diamond suit,♦,Activities,game,"card, diamond suit, game",diamond suit
club suit,♣️,Activities,game,,"clubs, club suit"
club suit,♣,Activities,game,"card, club suit, game",club suit
chess pawn,♟️,Activities,game,,chess pawn
chess pawn,♟,Activities,game,"chess, dupe, expendable, red shirt",chess pawn
joker,🃏,Activities,game,"card, game, joker, wildcard","black joker, joker"
mahjong red dragon,🀄,Activities,game,"game, mahjong, mahjong red dragon, red","mahjong red dragon, mahjong"
flower playing cards,🎴,Activities,game,"card, flower, flower playing cards, game, Japanese, playing",flower playing cards
performing arts,🎭,Activities,arts & crafts,"art, mask, performing, performing arts, theater, theatre, theater, drama",performing arts
framed picture,🖼️,Activities,arts & crafts,,
framed picture,🖼,Activities,arts & crafts,"art, frame, framed picture, museum, painting, picture",framed picture
artist palette,🎨,Activities,arts & crafts,"art, artist palette, museum, painting, palette, design, paint","art, artist palette"
thread,🧵,Activities,arts & crafts,"needle, sewing, spool, string",thread
yarn,🧶,Activities,arts & crafts,"ball, crochet, knit",yarn
muted speaker,🔇,Objects,sound,"mute, muted speaker, quiet, silent, speaker, sound, volume","mute, muted speaker"
speaker low volume,🔈,Objects,sound,"soft, speaker low volume","speaker, speaker low volume"
speaker medium volume,🔉,Objects,sound,"medium, speaker medium volume, volume","sound, speaker medium volume"
speaker high volume,🔊,Objects,sound,"loud, speaker high volume, volume","loud sound, speaker high volume"
loudspeaker,📢,Objects,sound,"loud, loudspeaker, public address, announcement",loudspeaker
megaphone,📣,Objects,sound,"cheering, megaphone","mega, megaphone"
postal horn,📯,Objects,sound,"horn, post, postal",postal horn
bell,🔔,Objects,sound,"bell, sound, notification",bell
bell with slash,🔕,Objects,sound,"bell, bell with slash, forbidden, mute, no, not, prohibited, quiet, silent, volume, off","no bell, bell with slash"
musical score,🎼,Objects,music,"music, musical score, score",musical score
musical note,🎵,Objects,music,"music, musical note, note",musical note
musical notes,🎶,Objects,music,"music, musical notes, note, notes, music","notes, musical notes"
studio microphone,🎙️,Objects,music,,
studio microphone,🎙,Objects,music,"mic, microphone, music, studio, podcast",studio microphone
level slider,🎚️,Objects,music,,
level slider,🎚,Objects,music,"level, music, slider",level slider
control knobs,🎛️,Objects,music,,
control knobs,🎛,Objects,music,"control, knobs, music",control knobs
microphone,🎤,Objects,music,"karaoke, mic, microphone, sing",microphone
headphone,🎧,Objects,music,"earbud, headphone, music, earphones","headphones, headphone"
radio,📻,Objects,music,"radio, video, podcast",radio
saxophone,🎷,Objects,musical-instrument,"instrument, music, sax, saxophone",saxophone
guitar,🎸,Objects,musical-instrument,"guitar, instrument, music, rock",guitar
musical keyboard,🎹,Objects,musical-instrument,"instrument, keyboard, music, musical keyboard, piano, piano",musical keyboard
trumpet,🎺,Objects,musical-instrument,"instrument, music, trumpet",trumpet
violin,🎻,Objects,musical-instrument,"instrument, music, violin",violin
drum,🥁,Objects,musical-instrument,"drum, drumsticks, music",drum
mobile phone,📱,Objects,phone,"cell, mobile, phone, telephone, smartphone","iphone, mobile phone"
mobile phone with arrow,📲,Objects,phone,"arrow, call, cell, mobile, mobile phone with arrow, phone, receive, telephone, incoming","calling, mobile phone with arrow"
telephone,☎️,Objects,phone,,"phone, telephone"
telephone,☎,Objects,phone,"phone, telephone",
telephone receiver,📞,Objects,phone,"phone, receiver, telephone, call",telephone receiver
pager,📟,Objects,phone,pager,pager
fax machine,📠,Objects,phone,"fax, fax machine","fax, fax machine"
battery,🔋,Objects,computer,"battery, power",battery
electric plug,🔌,Objects,computer,"electric, electricity, plug",electric plug
laptop computer,💻,Objects,computer,"computer, laptop computer, pc, personal, desktop, screen","computer, laptop computer"
desktop computer,🖥️,Objects,computer,,
desktop computer,🖥,Objects,computer,"computer, desktop",desktop computer
printer,🖨️,Objects,computer,,
printer,🖨,Objects,computer,"computer, printer",printer
keyboard,⌨️,Objects,computer,,keyboard
keyboard,⌨,Objects,computer,"computer, keyboard",
computer mouse,🖱️,Objects,computer,,
computer mouse,🖱,Objects,computer,"computer, computer mouse",computer mouse
trackball,🖲️,Objects,computer,,
trackball,🖲,Objects,computer,"computer, trackball",trackball
computer disk,💽,Objects,computer,"computer, disk, minidisk, optical","minidisc, computer disk"
floppy disk,💾,Objects,computer,"computer, disk, floppy, save",floppy disk
optical disk,💿,Objects,computer,"cd, computer, disk, optical","cd, optical disk"
dvd,📀,Objects,computer,"blu-ray, computer, disk, dvd, optical",dvd
abacus,🧮,Objects,computer,calculation,abacus
movie camera,🎥,Objects,light & video,"camera, cinema, movie, film, video",movie camera
film frames,🎞️,Objects,light & video,,film frames
film frames,🎞,Objects,light & video,"cinema, film, frames, movie","film strip, film frames"
film projector,📽️,Objects,light & video,,
film projector,📽,Objects,light & video,"cinema, film, movie, projector, video",film projector
clapper board,🎬,Objects,light & video,"clapper, clapper board, movie, film","clapper, clapper board"
television,📺,Objects,light & video,"television, tv, video","tv, television"
camera,📷,Objects,light & video,"camera, video, photo",camera
camera with flash,📸,Objects,light & video,"camera, camera with flash, flash, video, photo","camera flash, camera with flash"
video camera,📹,Objects,light & video,"camera, video",video camera
videocassette,📼,Objects,light & video,"tape, vhs, video, videocassette","vhs, videocassette"
magnifying glass tilted left,🔍,Objects,light & video,"glass, magnifying, magnifying glass tilted left, search, tool, search, zoom","mag, magnifying glass tilted left"
magnifying glass tilted right,🔎,Objects,light & video,"glass, magnifying, magnifying glass tilted right, search, tool","mag right, magnifying glass tilted right"
candle,🕯️,Objects,light & video,,
candle,🕯,Objects,light & video,"candle, light",candle
light bulb,💡,Objects,light & video,"bulb, comic, electric, idea, light, idea, light","bulb, light bulb"
flashlight,🔦,Objects,light & video,"electric, flashlight, light, tool, torch",flashlight
red paper lantern,🏮,Objects,light & video,"bar, lantern, light, red, red paper lantern","izakaya lantern, lantern, red paper lantern"
notebook with decorative cover,📔,Objects,book-paper,"book, cover, decorated, notebook, notebook with decorative cover",notebook with decorative cover
closed book,📕,Objects,book-paper,"book, closed",closed book
open book,📖,Objects,book-paper,"book, open","book, open book"
green book,📗,Objects,book-paper,"book, green",green book
blue book,📘,Objects,book-paper,"blue, book",blue book
orange book,📙,Objects,book-paper,"book, orange",orange book
books,📚,Objects,book-paper,"book, books, library",books
notebook,📓,Objects,book-paper,notebook,notebook
ledger,📒,Objects,book-paper,"ledger, notebook",ledger
page with curl,📃,Objects,book-paper,"curl, document, page, page with curl",page with curl
scroll,📜,Objects,book-paper,"paper, scroll, document",scroll
page facing up,📄,Objects,book-paper,"document, page, page facing up",page facing up
newspaper,📰,Objects,book-paper,"news, newspaper, paper, press",newspaper
rolled-up newspaper,🗞️,Objects,book-paper,,rolled up newspaper
rolled-up newspaper,🗞,Objects,book-paper,"news, newspaper, paper, rolled, rolled-up newspaper, press","newspaper roll, rolled up newspaper"
bookmark tabs,📑,Objects,book-paper,"bookmark, mark, marker, tabs",bookmark tabs
bookmark,🔖,Objects,book-paper,"bookmark, mark",bookmark
label,🏷️,Objects,book-paper,,
label,🏷,Objects,book-paper,"label, tag",label
money bag,💰,Objects,money,"bag, dollar, money, moneybag, dollar, cream","moneybag, money bag"
yen banknote,💴,Objects,money,"bank, banknote, bill, currency, money, note, yen","yen, yen banknote"
dollar banknote,💵,Objects,money,"bank, banknote, bill, currency, dollar, money, note, money","dollar, dollar banknote"
euro banknote,💶,Objects,money,"bank, banknote, bill, currency, euro, money, note","euro, euro banknote"
pound banknote,💷,Objects,money,"bank, banknote, bill, currency, money, note, pound","pound, pound banknote"
money with wings,💸,Objects,money,"bank, banknote, bill, dollar, fly, money, money with wings, note, wings, dollar",money with wings
credit card,💳,Objects,money,"bank, card, credit, money, subscription",credit card
receipt,🧾,Objects,money,"accounting, bookkeeping, evidence, proof",receipt
chart increasing with yen,💹,Objects,money,"bank, chart, chart increasing with yen, currency, graph, growth, market, money, rise, trend, upward, yen","chart, chart increasing with yen"
currency exchange,💱,Objects,money,"bank, currency, exchange, money",currency exchange
heavy dollar sign,💲,Objects,money,"currency, dollar, heavy dollar sign, money",heavy dollar sign
envelope,✉️,Objects,mail,letter,"email, envelope"
envelope,✉,Objects,mail,"email, envelope, letter",
e-mail,📧,Objects,mail,"e-mail, email, letter, mail","e-mail, e mail"
incoming envelope,📨,Objects,mail,"e-mail, email, envelope, incoming, letter, mail, receive",incoming envelope
envelope with arrow,📩,Objects,mail,"arrow, down, e-mail, email, envelope, envelope with arrow, letter, mail, outgoing, sent",envelope with arrow
outbox tray,📤,Objects,mail,"box, letter, mail, outbox, sent, tray",outbox tray
inbox tray,📥,Objects,mail,"box, inbox, letter, mail, receive, tray",inbox tray
package,📦,Objects,mail,"box, package, parcel, shipping",package
closed mailbox with raised flag,📫,Objects,mail,"closed, closed mailbox with raised flag, mail, mailbox, postbox","mailbox, closed mailbox with raised flag"
closed mailbox with lowered flag,📪,Objects,mail,"closed, closed mailbox with lowered flag, lowered, mail, mailbox, postbox","mailbox closed, closed mailbox with lowered flag"
open mailbox with raised flag,📬,Objects,mail,"mail, mailbox, open, open mailbox with raised flag, postbox","mailbox with mail, open mailbox with raised flag"
open mailbox with lowered flag,📭,Objects,mail,"lowered, mail, mailbox, open, open mailbox with lowered flag, postbox","mailbox with no mail, open mailbox with lowered flag"
postbox,📮,Objects,mail,"mail, mailbox, postbox",postbox
ballot box with ballot,🗳️,Objects,mail,,ballot box with ballot
ballot box with ballot,🗳,Objects,mail,"ballot, ballot box with ballot, box","ballot box, ballot box with ballot"
pencil,✏️,Objects,writing,,pencil2
pencil,✏,Objects,writing,pencil,
black nib,✒️,Objects,writing,,black nib
black nib,✒,Objects,writing,"black nib, nib, pen",
fountain pen,🖋️,Objects,writing,,
fountain pen,🖋,Objects,writing,"fountain, pen",fountain pen
pen,🖊️,Objects,writing,,
pen,🖊,Objects,writing,"ballpoint, pen",pen
paintbrush,🖌️,Objects,writing,,
paintbrush,🖌,Objects,writing,"paintbrush, painting",paintbrush
crayon,🖍️,Objects,writing,,
crayon,🖍,Objects,writing,crayon,crayon
memo,📝,Objects,writing,"memo, pencil, document, note","memo, pencil"
briefcase,💼,Objects,office,"briefcase, business",briefcase
file folder,📁,Objects,office,"file, folder, directory",file folder
open file folder,📂,Objects,office,"file, folder, open",open file folder
card index dividers,🗂️,Objects,office,,
card index dividers,🗂,Objects,office,"card, dividers, index",card index dividers
calendar,📅,Objects,office,"calendar, date, calendar, schedule",date
tear-off calendar,📆,Objects,office,"calendar, tear-off calendar, schedule","calendar, tear off calendar"
spiral notepad,🗒️,Objects,office,,
spiral notepad,🗒,Objects,office,"note, pad, spiral, spiral notepad",spiral notepad
spiral calendar,🗓️,Objects,office,,
spiral calendar,🗓,Objects,office,"calendar, pad, spiral",spiral calendar
card index,📇,Objects,office,"card, index, rolodex",card index
chart increasing,📈,Objects,office,"chart, chart increasing, graph, growth, trend, upward, graph, metrics","chart with upwards trend, chart increasing"
chart decreasing,📉,Objects,office,"chart, chart decreasing, down, graph, trend, graph, metrics","chart with downwards trend, chart decreasing"
bar chart,📊,Objects,office,"bar, chart, graph, stats, metrics",bar chart
clipboard,📋,Objects,office,clipboard,clipboard
pushpin,📌,Objects,office,"pin, pushpin, location",pushpin
round pushpin,📍,Objects,office,"pin, pushpin, round pushpin, location",round pushpin
paperclip,📎,Objects,office,paperclip,paperclip
linked paperclips,🖇️,Objects,office,,linked paperclips
linked paperclips,🖇,Objects,office,"link, linked paperclips, paperclip","paperclips, linked paperclips"
straight ruler,📏,Objects,office,"ruler, straight edge, straight ruler",straight ruler
triangular ruler,📐,Objects,office,"ruler, set, triangle, triangular ruler",triangular ruler
scissors,✂️,Objects,office,cut,scissors
scissors,✂,Objects,office,"cutting, scissors, tool",
card file box,🗃️,Objects,office,,
card file box,🗃,Objects,office,"box, card, file",card file box
file cabinet,🗄️,Objects,office,,
file cabinet,🗄,Objects,office,"cabinet, file, filing",file cabinet
wastebasket,🗑️,Objects,office,,
wastebasket,🗑,Objects,office,"wastebasket, trash",wastebasket
locked,🔒,Objects,lock,"closed, locked, security, private","lock, locked"
unlocked,🔓,Objects,lock,"lock, open, unlock, unlocked, security","unlock, unlocked"
locked with pen,🔏,Objects,lock,"ink, lock, locked with pen, nib, pen, privacy","lock with ink pen, locked with pen"
locked with key,🔐,Objects,lock,"closed, key, lock, locked with key, secure, security","closed lock with key, locked with key"
key,🔑,Objects,lock,"key, lock, password, lock, password",key
old key,🗝️,Objects,lock,,
old key,🗝,Objects,lock,"clue, key, lock, old",old key
hammer,🔨,Objects,tool,"hammer, tool",hammer
pick,⛏️,Objects,tool,,
pick,⛏,Objects,tool,"mining, pick, tool",pick
hammer and pick,⚒️,Objects,tool,,
hammer and pick,⚒,Objects,tool,"hammer, hammer and pick, pick, tool",hammer and pick
hammer and wrench,🛠️,Objects,tool,,
hammer and wrench,🛠,Objects,tool,"hammer, hammer and wrench, spanner, tool, wrench",hammer and wrench
dagger,🗡️,Objects,tool,,
dagger,🗡,Objects,tool,"dagger, knife, weapon",dagger
crossed swords,⚔️,Objects,tool,,crossed swords
crossed swords,⚔,Objects,tool,"crossed, swords, weapon",
pistol,🔫,Objects,tool,"gun, handgun, pistol, revolver, tool, weapon, shoot, weapon","gun, pistol"
bow and arrow,🏹,Objects,tool,"archer, archery, arrow, bow, bow and arrow, Sagittarius, tool, weapon, zodiac",bow and arrow
shield,🛡️,Objects,tool,,
shield,🛡,Objects,tool,"shield, weapon",shield
wrench,🔧,Objects,tool,"spanner, tool, wrench",wrench
nut and bolt,🔩,Objects,tool,"bolt, nut, nut and bolt, tool",nut and bolt
gear,⚙️,Objects,tool,,gear
gear,⚙,Objects,tool,"cog, cogwheel, gear, tool",
clamp,🗜️,Objects,tool,,
clamp,🗜,Objects,tool,"clamp, compress, tool, vice",clamp
balance scale,⚖️,Objects,tool,,balance scale
balance scale,⚖,Objects,tool,"balance, balance scale, justice, Libra, scales, tool, weight, zodiac",
link,🔗,Objects,tool,link,link
chains,⛓️,Objects,tool,,
chains,⛓,Objects,tool,"chain, chains",chains
toolbox,🧰,Objects,tool,"chest, mechanic, tool",toolbox
magnet,🧲,Objects,tool,"attraction, horseshoe, magnetic",magnet
alembic,⚗️,Objects,science,,alembic
alembic,⚗,Objects,science,"alembic, chemistry, tool",
test tube,🧪,Objects,science,"chemist, chemistry, experiment, lab, science",test tube
petri dish,🧫,Objects,science,"bacteria, biologist, biology, culture, lab",petri dish
dna,🧬,Objects,science,"biologist, evolution, gene, genetics, life",dna
microscope,🔬,Objects,science,"microscope, science, tool, science, laboratory, investigate",microscope
telescope,🔭,Objects,science,"science, telescope, tool",telescope
satellite antenna,📡,Objects,science,"antenna, dish, satellite, signal","satellite, satellite antenna"
syringe,💉,Objects,medical,"doctor, medicine, needle, shot, sick, syringe, tool, health, hospital, needle",syringe
pill,💊,Objects,medical,"doctor, medicine, pill, sick, health, medicine",pill
door,🚪,Objects,household,door,door
bed,🛏️,Objects,household,,
bed,🛏,Objects,household,"bed, hotel, sleep",bed
couch and lamp,🛋️,Objects,household,,
couch and lamp,🛋,Objects,household,"couch, couch and lamp, hotel, lamp",couch and lamp
toilet,🚽,Objects,household,"toilet, wc",toilet
shower,🚿,Objects,household,"shower, water, bath",shower
bathtub,🛁,Objects,household,"bath, bathtub",bathtub
lotion bottle,🧴,Objects,household,"lotion, moisturizer, shampoo, sunscreen",lotion bottle
safety pin,🧷,Objects,household,"diaper, punk rock",safety pin
broom,🧹,Objects,household,"cleaning, sweeping, witch",broom
basket,🧺,Objects,household,"farming, laundry, picnic",basket
roll of paper,🧻,Objects,household,"paper towels, toilet paper",roll of paper
soap,🧼,Objects,household,"bar, bathing, cleaning, lather, soapdish",soap
sponge,🧽,Objects,household,"absorbing, cleaning, porous",sponge
fire extinguisher,🧯,Objects,household,"extinguish, fire, quench",fire extinguisher
shopping cart,🛒,Objects,household,"cart, shopping, trolley",shopping cart
cigarette,🚬,Objects,other-object,"cigarette, smoking, cigarette","smoking, cigarette"
coffin,⚰️,Objects,other-object,funeral,coffin
coffin,⚰,Objects,other-object,"coffin, death",
